competencia,territorio,populacao_estimada,chamados,tempo_medio_h,chuva_mm,temperatura_c,cobertura_servico_pct,nivel_pressao,origem
2024-01-01,Aurora,5804,28,42.38,142.69,21.67,58.09,Alto,SINTETICO_DEMONSTRACAO
2024-02-01,Aurora,5804,29,38.57,177.7,20.96,56.12,Alto,SINTETICO_DEMONSTRACAO
2024-03-01,Aurora,5804,27,36.56,189.26,26.22,50.65,Alto,SINTETICO_DEMONSTRACAO
2024-04-01,Aurora,5804,31,34.12,175.12,25.22,59.27,Alto,SINTETICO_DEMONSTRACAO
2024-05-01,Aurora,5804,31,39.57,198.41,27.76,57.39,Alto,SINTETICO_DEMONSTRACAO
2024-06-01,Aurora,5804,23,35.53,145.82,25.31,61.23,Alto,SINTETICO_DEMONSTRACAO
2024-07-01,Aurora,5804,30,39.99,138.5,24.96,66.0,Alto,SINTETICO_DEMONSTRACAO
2024-08-01,Aurora,5804,23,36.97,82.71,20.77,50.47,Alto,SINTETICO_DEMONSTRACAO
2024-09-01,Aurora,5804,11,29.43,73.31,21.15,60.1,Baixo,SINTETICO_DEMONSTRACAO
2024-10-01,Aurora,5804,20,28.61,8,17.9,61.76,Moderado,SINTETICO_DEMONSTRACAO
2024-11-01,Aurora,5804,15,33.33,23.86,19.71,55.74,Moderado,SINTETICO_DEMONSTRACAO
2024-12-01,Aurora,5804,20,32.28,87.55,17.98,57.2,Moderado,SINTETICO_DEMONSTRACAO
2025-01-01,Aurora,5804,29,37.86,144.96,19.57,58.84,Alto,SINTETICO_DEMONSTRACAO
2025-02-01,Aurora,5804,26,38.11,148.58,23.45,49.86,Alto,SINTETICO_DEMONSTRACAO
2025-03-01,Aurora,5804,26,27.52,210.35,23.79,57.31,Alto,SINTETICO_DEMONSTRACAO
2025-04-01,Aurora,5804,32,45.52,197.22,25.72,55.83,Alto,SINTETICO_DEMONSTRACAO
2025-05-01,Aurora,5804,29,30.08,150.63,26.22,52.04,Alto,SINTETICO_DEMONSTRACAO
2025-06-01,Aurora,5804,28,28.35,213.74,27.04,62.45,Alto,SINTETICO_DEMONSTRACAO
2025-07-01,Aurora,5804,20,27.89,122.45,25.18,55.15,Moderado,SINTETICO_DEMONSTRACAO
2025-08-01,Aurora,5804,14,23.78,93.62,21.61,58.76,Baixo,SINTETICO_DEMONSTRACAO
2025-09-01,Aurora,5804,16,27.74,39.38,19.86,64.25,Moderado,SINTETICO_DEMONSTRACAO
2025-10-01,Aurora,5804,26,35.29,13.08,18.67,60.83,Alto,SINTETICO_DEMONSTRACAO
2025-11-01,Aurora,5804,16,32.81,32.85,15.15,58.45,Moderado,SINTETICO_DEMONSTRACAO
2025-12-01,Aurora,5804,26,40.32,93.11,19.64,53.01,Alto,SINTETICO_DEMONSTRACAO
2024-01-01,Central,6565,23,31.89,77.96,19.89,64.83,Moderado,SINTETICO_DEMONSTRACAO
2024-02-01,Central,6565,29,34.38,159.9,24.72,60.57,Alto,SINTETICO_DEMONSTRACAO
2024-03-01,Central,6565,28,33.92,228.19,25.48,67.0,Alto,SINTETICO_DEMONSTRACAO
2024-04-01,Central,6565,33,44.31,197.73,26.27,56.5,Alto,SINTETICO_DEMONSTRACAO
2024-05-01,Central,6565,23,32.7,169.59,26.41,68.65,Moderado,SINTETICO_DEMONSTRACAO
2024-06-01,Central,6565,23,44.93,182.6,26.04,61.68,Alto,SINTETICO_DEMONSTRACAO
2024-07-01,Central,6565,24,33.98,101.1,23.56,62.48,Alto,SINTETICO_DEMONSTRACAO
2024-08-01,Central,6565,24,34.8,93.73,21.76,63.09,Alto,SINTETICO_DEMONSTRACAO
2024-09-01,Central,6565,15,27.55,33.21,19.77,73.21,Baixo,SINTETICO_DEMONSTRACAO
2024-10-01,Central,6565,28,43.31,39.99,18.46,61.97,Alto,SINTETICO_DEMONSTRACAO
2024-11-01,Central,6565,13,25.3,21.54,17.71,66.96,Baixo,SINTETICO_DEMONSTRACAO
2024-12-01,Central,6565,16,28.08,83.25,17.72,67.2,Baixo,SINTETICO_DEMONSTRACAO
2025-01-01,Central,6565,25,28.63,85.66,17.34,69.14,Moderado,SINTETICO_DEMONSTRACAO
2025-02-01,Central,6565,23,32.92,193.05,22.51,68.25,Moderado,SINTETICO_DEMONSTRACAO
2025-03-01,Central,6565,24,35.28,183.04,25.5,69.79,Alto,SINTETICO_DEMONSTRACAO
2025-04-01,Central,6565,31,27.8,175.72,30.47,70.95,Alto,SINTETICO_DEMONSTRACAO
2025-05-01,Central,6565,32,39.05,224.27,25.66,67.89,Alto,SINTETICO_DEMONSTRACAO
2025-06-01,Central,6565,30,36.63,177.7,27.23,66.76,Alto,SINTETICO_DEMONSTRACAO
2025-07-01,Central,6565,32,45.9,120.15,23.31,53.88,Alto,SINTETICO_DEMONSTRACAO
2025-08-01,Central,6565,20,40.67,73.19,22.36,62.16,Moderado,SINTETICO_DEMONSTRACAO
2025-09-01,Central,6565,19,25.25,19.82,19.68,64.98,Moderado,SINTETICO_DEMONSTRACAO
2025-10-01,Central,6565,23,32.26,19.88,19.29,62.66,Moderado,SINTETICO_DEMONSTRACAO
2025-11-01,Central,6565,20,36.5,55.59,19.78,63.34,Moderado,SINTETICO_DEMONSTRACAO
2025-12-01,Central,6565,20,25.93,105.64,18.9,71.72,Moderado,SINTETICO_DEMONSTRACAO
2024-01-01,Estação,8247,32,36.22,97.4,19.98,71.5,Alto,SINTETICO_DEMONSTRACAO
2024-02-01,Estação,8247,19,29.44,171.9,23.68,77.28,Baixo,SINTETICO_DEMONSTRACAO
2024-03-01,Estação,8247,27,38.66,188.78,24.54,67.34,Moderado,SINTETICO_DEMONSTRACAO
2024-04-01,Estação,8247,29,36.45,213.06,25.5,71.9,Moderado,SINTETICO_DEMONSTRACAO
2024-05-01,Estação,8247,32,34.74,186.66,27.68,66.21,Alto,SINTETICO_DEMONSTRACAO
2024-06-01,Estação,8247,29,31.87,215.79,26.65,66.26,Moderado,SINTETICO_DEMONSTRACAO
2024-07-01,Estação,8247,24,36.13,124.36,24.37,74.82,Moderado,SINTETICO_DEMONSTRACAO
2024-08-01,Estação,8247,24,34.51,50.85,23.05,75.37,Moderado,SINTETICO_DEMONSTRACAO
2024-09-01,Estação,8247,23,32.68,27.5,18.23,68.2,Moderado,SINTETICO_DEMONSTRACAO
2024-10-01,Estação,8247,28,36.8,29.12,17.36,64.98,Moderado,SINTETICO_DEMONSTRACAO
2024-11-01,Estação,8247,28,32.53,85.83,20.76,74.85,Moderado,SINTETICO_DEMONSTRACAO
2024-12-01,Estação,8247,21,25.84,46.86,21.07,79.79,Baixo,SINTETICO_DEMONSTRACAO
2025-01-01,Estação,8247,27,38.39,135.58,20.66,66.99,Moderado,SINTETICO_DEMONSTRACAO
2025-02-01,Estação,8247,33,40.05,161.44,25.43,66.54,Alto,SINTETICO_DEMONSTRACAO
2025-03-01,Estação,8247,33,46.44,172.51,22.98,68.12,Alto,SINTETICO_DEMONSTRACAO
2025-04-01,Estação,8247,30,40.46,154.93,26.13,60.6,Alto,SINTETICO_DEMONSTRACAO
2025-05-01,Estação,8247,31,43.36,190.25,25.99,69.32,Alto,SINTETICO_DEMONSTRACAO
2025-06-01,Estação,8247,26,29.29,138.45,24.62,75.92,Moderado,SINTETICO_DEMONSTRACAO
2025-07-01,Estação,8247,28,32.05,133.47,26.17,70.96,Moderado,SINTETICO_DEMONSTRACAO
2025-08-01,Estação,8247,29,28.31,76.69,23.47,69.73,Moderado,SINTETICO_DEMONSTRACAO
2025-09-01,Estação,8247,26,39.9,49.46,22.14,68.75,Moderado,SINTETICO_DEMONSTRACAO
2025-10-01,Estação,8247,19,20.12,49.01,18.01,76.8,Baixo,SINTETICO_DEMONSTRACAO
2025-11-01,Estação,8247,20,18.16,41.45,18.55,74.79,Baixo,SINTETICO_DEMONSTRACAO
2025-12-01,Estação,8247,19,33.49,43.42,20.43,73.6,Baixo,SINTETICO_DEMONSTRACAO
2024-01-01,Horizonte,9346,31,36.06,94.32,19.51,74.08,Moderado,SINTETICO_DEMONSTRACAO
2024-02-01,Horizonte,9346,24,28.72,190.54,25.24,79.12,Baixo,SINTETICO_DEMONSTRACAO
2024-03-01,Horizonte,9346,31,33.71,184.36,22.81,77.75,Moderado,SINTETICO_DEMONSTRACAO
2024-04-01,Horizonte,9346,27,27.41,180.09,25.23,87.93,Baixo,SINTETICO_DEMONSTRACAO
2024-05-01,Horizonte,9346,32,39.59,177.81,27.85,75.58,Moderado,SINTETICO_DEMONSTRACAO
2024-06-01,Horizonte,9346,34,34.82,172.48,27.82,76.25,Moderado,SINTETICO_DEMONSTRACAO
2024-07-01,Horizonte,9346,26,26.16,106.28,26.04,83.11,Baixo,SINTETICO_DEMONSTRACAO
2024-08-01,Horizonte,9346,24,32.13,86.36,21.74,74.38,Baixo,SINTETICO_DEMONSTRACAO
2024-09-01,Horizonte,9346,20,31.37,8,20.83,79.87,Baixo,SINTETICO_DEMONSTRACAO
2024-10-01,Horizonte,9346,28,27.72,46.45,18.14,75.65,Moderado,SINTETICO_DEMONSTRACAO
2024-11-01,Horizonte,9346,24,30.35,36.67,17.54,79.35,Baixo,SINTETICO_DEMONSTRACAO
2024-12-01,Horizonte,9346,22,32.02,98.97,19.14,77.43,Baixo,SINTETICO_DEMONSTRACAO
2025-01-01,Horizonte,9346,28,33.63,126.62,22.14,75.26,Moderado,SINTETICO_DEMONSTRACAO
2025-02-01,Horizonte,9346,34,41.71,154.07,22.51,70.43,Alto,SINTETICO_DEMONSTRACAO
2025-03-01,Horizonte,9346,31,35.65,210.88,27.3,77.41,Moderado,SINTETICO_DEMONSTRACAO
2025-04-01,Horizonte,9346,26,20.92,239.73,24.06,81.43,Baixo,SINTETICO_DEMONSTRACAO
2025-05-01,Horizonte,9346,24,28.34,141.56,25.04,84.35,Baixo,SINTETICO_DEMONSTRACAO
2025-06-01,Horizonte,9346,34,34.54,130.4,26.87,73.49,Moderado,SINTETICO_DEMONSTRACAO
2025-07-01,Horizonte,9346,32,36.49,98.17,24.75,79.12,Moderado,SINTETICO_DEMONSTRACAO
2025-08-01,Horizonte,9346,28,35.23,47.43,21.83,76.14,Moderado,SINTETICO_DEMONSTRACAO
2025-09-01,Horizonte,9346,24,31.5,41.36,21.44,76.36,Baixo,SINTETICO_DEMONSTRACAO
2025-10-01,Horizonte,9346,21,31.19,66.62,18.74,77.25,Baixo,SINTETICO_DEMONSTRACAO
2025-11-01,Horizonte,9346,30,31.07,31.06,18.71,69.49,Moderado,SINTETICO_DEMONSTRACAO
2025-12-01,Horizonte,9346,26,33.27,56.9,20.13,72.33,Moderado,SINTETICO_DEMONSTRACAO
2024-01-01,Jardins,10510,21,19.05,108.42,21.54,93.38,Baixo,SINTETICO_DEMONSTRACAO
2024-02-01,Jardins,10510,28,33.99,147.48,23.29,75.84,Baixo,SINTETICO_DEMONSTRACAO
2024-03-01,Jardins,10510,24,28.53,164.27,24.71,81.64,Baixo,SINTETICO_DEMONSTRACAO
2024-04-01,Jardins,10510,22,26.94,155.4,29.09,79.2,Baixo,SINTETICO_DEMONSTRACAO
2024-05-01,Jardins,10510,31,34.81,158.83,25.73,90.57,Moderado,SINTETICO_DEMONSTRACAO
2024-06-01,Jardins,10510,25,29.83,145.66,26.07,90.44,Baixo,SINTETICO_DEMONSTRACAO
2024-07-01,Jardins,10510,26,31.73,127.92,23.94,90.99,Baixo,SINTETICO_DEMONSTRACAO
